Year,Region,Number_of_Banks,Number_of_Branches,New_Charters
1954,New Mexico,52,26,
1955,New Mexico,51,30,
1956,New Mexico,52,35,
1957,New Mexico,52,39,
1958,New Mexico,53,43,
1959,New Mexico,52,49,
1960,New Mexico,55,56,
1961,New Mexico,57,64,
1962,New Mexico,60,69,
1963,New Mexico,61,79,
1964,New Mexico,63,84,
1965,New Mexico,64,95,
1966,New Mexico,64,101,0
1967,New Mexico,64,109,0
1968,New Mexico,63,114,0
1969,New Mexico,64,121,1
1970,New Mexico,66,130,2
1971,New Mexico,68,140,2
1972,New Mexico,71,150,3
1973,New Mexico,73,177,2
1974,New Mexico,76,189,3
1975,New Mexico,80,206,4
1976,New Mexico,82,210,2
1977,New Mexico,83,216,1
1978,New Mexico,86,227,3
1979,New Mexico,86,238,0
1980,New Mexico,89,244,3
1981,New Mexico,88,259,0
1982,New Mexico,92,263,4
1983,New Mexico,93,269,2
1984,New Mexico,95,277,2
1985,New Mexico,96,281,2
1986,New Mexico,94,291,0
1987,New Mexico,94,290,0
1988,New Mexico,93,286,0
1989,New Mexico,93,288,0
1990,New Mexico,91,303,0
1991,New Mexico,83,346,0
1992,New Mexico,84,332,1
1993,New Mexico,81,336,0
1994,New Mexico,70,358,0
1995,New Mexico,68,371,0
1996,New Mexico,68,400,1
1997,New Mexico,58,420,2
1998,New Mexico,58,419,3
1999,New Mexico,54,409,1
2000,New Mexico,54,405,5
2001,New Mexico,53,387,1
2002,New Mexico,51,387,0
2003,New Mexico,51,394,0
2004,New Mexico,49,393,0
2005,New Mexico,48,399,0
2006,New Mexico,47,411,0
2007,New Mexico,48,421,0
2008,New Mexico,49,428,1
2009,New Mexico,49,430,0
2010,New Mexico,48,424,0
2011,New Mexico,45,426,0
2012,New Mexico,44,431,0
2013,New Mexico,43,444,0
2014,New Mexico,40,441,0
2015,New Mexico,37,435,0
2016,New Mexico,37,425,0
2017,New Mexico,36,412,0
2018,New Mexico,34,406,0
2019,New Mexico,31,398,0
1934,New York,771,0,
1935,New York,768,624,
1936,New York,758,631,
1937,New York,745,638,
1938,New York,740,636,
1939,New York,734,640,
1940,New York,719,644,
1941,New York,708,646,
1942,New York,704,641,
1943,New York,694,646,
1944,New York,684,658,
1945,New York,677,668,
1946,New York,659,692,
1947,New York,651,715,
1948,New York,641,731,
1949,New York,633,756,
1950,New York,622,785,
1951,New York,610,830,
1952,New York,595,861,
1953,New York,572,912,
1954,New York,549,962,
1955,New York,499,1035,
1956,New York,472,1108,
1957,New York,449,1174,
1958,New York,422,1232,
1959,New York,403,1299,
1960,New York,390,1380,
1961,New York,374,1482,
1962,New York,355,1579,
1963,New York,336,1698,
1964,New York,326,1807,
1965,New York,316,1926,
1966,New York,311,2053,2
1967,New York,303,2127,5
1968,New York,296,2206,2
1969,New York,295,2290,2
1970,New York,287,2431,2
1971,New York,285,2547,4
1972,New York,278,2690,4
1973,New York,276,2870,3
1974,New York,271,3081,6
1975,New York,267,3195,4
1976,New York,230,3257,1
1977,New York,231,3303,5
1978,New York,225,3306,2
1979,New York,219,3378,1
1980,New York,214,3416,2
1981,New York,212,3565,2
1982,New York,205,3265,1
1983,New York,200,3260,2
1984,New York,194,3222,7
1985,New York,191,3262,3
1986,New York,199,3335,12
1987,New York,196,3295,6
1988,New York,198,3310,7
1989,New York,192,3339,6
1990,New York,193,3438,5
1991,New York,189,3498,0
1992,New York,177,3487,0
1993,New York,175,3450,2
1994,New York,167,3444,1
1995,New York,166,3437,3
1996,New York,160,3478,1
1997,New York,153,3369,2
1998,New York,153,3402,2
1999,New York,150,3387,4
2000,New York,148,3364,3
2001,New York,141,3343,2
2002,New York,136,3422,5
2003,New York,135,3533,0
2004,New York,132,3606,4
2005,New York,134,3817,6
2006,New York,129,3901,3
2007,New York,127,4011,7
2008,New York,129,4309,5
2009,New York,128,4282,1
2010,New York,122,4389,0
2011,New York,118,4445,0
2012,New York,115,4360,0
2013,New York,113,4369,0
2014,New York,109,4331,0
2015,New York,103,4407,0
2016,New York,100,4227,0
2017,New York,98,4238,0
2018,New York,97,4113,1
2019,New York,98,4063,2
1934,North Carolina,237,0,
1935,North Carolina,236,89,
1936,North Carolina,232,103,
1937,North Carolina,228,108,
1938,North Carolina,224,113,
1939,North Carolina,220,124,
1940,North Carolina,220,125,
1941,North Carolina,220,129,
1942,North Carolina,219,136,
1943,North Carolina,219,145,
1944,North Carolina,222,147,
1945,North Carolina,224,148,
1946,North Carolina,222,159,
1947,North Carolina,223,168,
1948,North Carolina,225,179,
1949,North Carolina,226,192,
1950,North Carolina,224,216,
1951,North Carolina,224,233,
1952,North Carolina,225,255,
1953,North Carolina,225,270,
1954,North Carolina,223,301,
1955,North Carolina,219,323,
1956,North Carolina,213,354,
1957,North Carolina,209,384,
1958,North Carolina,202,409,
1959,North Carolina,191,449,
1960,North Carolina,182,505,
1961,North Carolina,170,547,
1962,North Carolina,161,606,
1963,North Carolina,155,669,
1964,North Carolina,151,713,
1965,North Carolina,145,733,
1966,North Carolina,136,786,0
1967,North Carolina,127,854,2
1968,North Carolina,120,924,2
1969,North Carolina,108,1010,1
1970,North Carolina,97,1112,1
1971,North Carolina,94,1217,3
1972,North Carolina,86,1322,3
1973,North Carolina,89,1435,7
1974,North Carolina,91,1537,6
1975,North Carolina,93,1575,2
1976,North Carolina,91,1611,2
1977,North Carolina,89,1644,0
1978,North Carolina,88,1673,1
1979,North Carolina,82,1713,1
1980,North Carolina,79,1732,1
1981,North Carolina,71,1780,0
1982,North Carolina,69,1783,2
1983,North Carolina,70,1802,5
1984,North Carolina,63,1829,1
1985,North Carolina,63,1864,4
1986,North Carolina,65,1898,5
1987,North Carolina,68,1946,6
1988,North Carolina,71,1969,3
1989,North Carolina,78,1989,8
1990,North Carolina,78,2033,3
1991,North Carolina,81,2066,5
1992,North Carolina,78,2054,1
1993,North Carolina,71,2171,0
1994,North Carolina,68,2198,1
1995,North Carolina,61,2120,2
1996,North Carolina,56,2163,3
1997,North Carolina,61,2135,9
1998,North Carolina,68,2207,8
1999,North Carolina,71,2242,3
2000,North Carolina,75,2231,9
2001,North Carolina,75,2250,3
2002,North Carolina,71,2303,1
2003,North Carolina,68,2282,2
2004,North Carolina,73,2330,7
2005,North Carolina,74,2362,3
2006,North Carolina,77,2434,9
2007,North Carolina,79,2511,4
2008,North Carolina,79,2574,6
2009,North Carolina,74,2576,1
2010,North Carolina,71,2576,0
2011,North Carolina,68,2562,0
2012,North Carolina,61,2551,0
2013,North Carolina,52,2476,0
2014,North Carolina,47,2455,0
2015,North Carolina,44,2407,0
2016,North Carolina,41,2348,0
2017,North Carolina,34,2303,0
2018,North Carolina,31,2229,0
2019,North Carolina,30,2186,1
1934,North Dakota,194,0,
1935,North Dakota,192,0,
1936,North Dakota,183,10,
1937,North Dakota,173,14,
1938,North Dakota,164,17,
1939,North Dakota,157,20,
1940,North Dakota,150,21,
1941,North Dakota,150,23,
1942,North Dakota,149,22,
1943,North Dakota,147,21,
1944,North Dakota,147,23,
1945,North Dakota,145,23,
1946,North Dakota,145,23,
1947,North Dakota,146,22,
1948,North Dakota,145,22,
1949,North Dakota,145,22,
1950,North Dakota,145,22,
1951,North Dakota,145,22,
1952,North Dakota,146,22,
1953,North Dakota,148,22,
1954,North Dakota,149,23,
1955,North Dakota,149,24,
1956,North Dakota,149,26,
1957,North Dakota,150,26,
1958,North Dakota,152,27,
1959,North Dakota,153,27,
1960,North Dakota,153,29,
1961,North Dakota,153,31,
1962,North Dakota,153,33,
1963,North Dakota,155,38,
1964,North Dakota,159,44,
1965,North Dakota,163,49,
1966,North Dakota,164,59,1
1967,North Dakota,166,62,2
1968,North Dakota,166,67,0
1969,North Dakota,166,66,0
1970,North Dakota,166,69,0
1971,North Dakota,166,70,0
1972,North Dakota,167,71,1
1973,North Dakota,167,72,0
1974,North Dakota,168,78,1
1975,North Dakota,169,85,1
1976,North Dakota,169,90,0
1977,North Dakota,170,106,2
1978,North Dakota,171,117,1
1979,North Dakota,172,123,1
1980,North Dakota,175,128,4
1981,North Dakota,175,137,0
1982,North Dakota,176,122,1
1983,North Dakota,177,124,1
1984,North Dakota,177,123,0
1985,North Dakota,177,123,0
1986,North Dakota,176,123,0
1987,North Dakota,174,124,0
1988,North Dakota,159,138,0
1989,North Dakota,158,139,0
1990,North Dakota,150,155,1
1991,North Dakota,146,158,0
1992,North Dakota,143,164,0
1993,North Dakota,141,174,1
1994,North Dakota,139,184,0
1995,North Dakota,127,194,1
1996,North Dakota,123,205,1
1997,North Dakota,117,248,1
1998,North Dakota,114,261,0
1999,North Dakota,114,265,0
2000,North Dakota,110,275,0
2001,North Dakota,104,281,0
2002,North Dakota,104,282,0
2003,North Dakota,101,286,0
2004,North Dakota,100,299,1
2005,North Dakota,96,302,0
2006,North Dakota,93,315,0
2007,North Dakota,95,316,2
2008,North Dakota,94,323,0
2009,North Dakota,92,323,0
2010,North Dakota,90,321,0
2011,North Dakota,88,320,0
2012,North Dakota,88,319,0
2013,North Dakota,86,317,0
2014,North Dakota,82,315,0
2015,North Dakota,76,319,0
2016,North Dakota,76,317,0
2017,North Dakota,74,319,0
2018,North Dakota,73,316,0
2019,North Dakota,72,316,0
1984,Northern Mariana Islands,,6,
1985,Northern Mariana Islands,,5,
1986,Northern Mariana Islands,,5,
1987,Northern Mariana Islands,,5,
1988,Northern Mariana Islands,,6,
1989,Northern Mariana Islands,,6,
1990,Northern Mariana Islands,,6,
1991,Northern Mariana Islands,,7,
1992,Northern Mariana Islands,,7,
1993,Northern Mariana Islands,,8,
1994,Northern Mariana Islands,,9,
1995,Northern Mariana Islands,,9,
1996,Northern Mariana Islands,,9,
1997,Northern Mariana Islands,,9,
1998,Northern Mariana Islands,,11,
1999,Northern Mariana Islands,,11,
2000,Northern Mariana Islands,,13,
2001,Northern Mariana Islands,,13,
2002,Northern Mariana Islands,,12,
2003,Northern Mariana Islands,,9,
2004,Northern Mariana Islands,,9,
2005,Northern Mariana Islands,,9,
2006,Northern Mariana Islands,,9,
2007,Northern Mariana Islands,,9,
2008,Northern Mariana Islands,,9,
2009,Northern Mariana Islands,,9,
2010,Northern Mariana Islands,,9,
2011,Northern Mariana Islands,,10,
2012,Northern Mariana Islands,,10,
2013,Northern Mariana Islands,,9,
2014,Northern Mariana Islands,,9,
2015,Northern Mariana Islands,,9,
2016,Northern Mariana Islands,,8,
2017,Northern Mariana Islands,,8,
2018,Northern Mariana Islands,,8,
2019,Northern Mariana Islands,,8,
1934,Ohio,680,0,
1935,Ohio,690,169,
1936,Ohio,690,171,
1937,Ohio,688,175,
1938,Ohio,686,171,
1939,Ohio,682,169,
1940,Ohio,674,173,
1941,Ohio,673,169,
1942,Ohio,666,169,
1943,Ohio,663,170,
1944,Ohio,663,171,
1945,Ohio,662,175,
1946,Ohio,659,176,
1947,Ohio,654,189,
1948,Ohio,653,204,
1949,Ohio,649,215,
1950,Ohio,650,226,
1951,Ohio,649,246,
1952,Ohio,644,271,
1953,Ohio,638,305,
1954,Ohio,629,333,
1955,Ohio,620,369,
1956,Ohio,615,435,
1957,Ohio,610,491,
1958,Ohio,605,551,
1959,Ohio,587,598,
1960,Ohio,584,638,
1961,Ohio,575,696,
1962,Ohio,563,744,
1963,Ohio,551,815,
1964,Ohio,546,871,
1965,Ohio,540,948,
1966,Ohio,535,1009,2
1967,Ohio,529,1069,2
1968,Ohio,523,1130,0
1969,Ohio,519,1217,1
1970,Ohio,514,1304,2
1971,Ohio,512,1370,2
1972,Ohio,503,1449,2
1973,Ohio,496,1525,2
1974,Ohio,496,1613,6
1975,Ohio,495,1674,1
1976,Ohio,489,1739,3
1977,Ohio,486,1827,2
1978,Ohio,481,1941,0
1979,Ohio,407,2106,2
1980,Ohio,384,2237,2
1981,Ohio,379,2318,0
1982,Ohio,355,2268,3
1983,Ohio,343,2280,6
1984,Ohio,320,2279,0
1985,Ohio,320,2441,6
1986,Ohio,309,2471,3
1987,Ohio,304,2457,2
1988,Ohio,299,2449,4
1989,Ohio,294,2496,3
1990,Ohio,289,2551,2
1991,Ohio,281,2654,5
1992,Ohio,271,2634,0
1993,Ohio,263,2705,2
1994,Ohio,258,2817,0
1995,Ohio,261,2851,4
1996,Ohio,257,2899,2
1997,Ohio,235,2970,2
1998,Ohio,220,2989,3
1999,Ohio,219,3019,2
2000,Ohio,211,3058,3
2001,Ohio,201,3048,0
2002,Ohio,198,3190,2
2003,Ohio,191,3227,0
2004,Ohio,181,3335,0
2005,Ohio,175,3375,2
2006,Ohio,176,3410,3
2007,Ohio,167,3429,3
2008,Ohio,156,3443,0
2009,Ohio,149,3440,0
2010,Ohio,148,3426,0
2011,Ohio,148,3460,0
2012,Ohio,147,3436,0
2013,Ohio,142,3383,0
2014,Ohio,134,3360,0
2015,Ohio,126,3308,0
2016,Ohio,122,3260,0
2017,Ohio,120,3177,0
2018,Ohio,136,3166,0
2019,Ohio,136,3100,1
1934,Oklahoma,394,0,
1935,Oklahoma,387,0,
1936,Oklahoma,385,0,
1937,Oklahoma,384,0,
1938,Oklahoma,384,0,
1939,Oklahoma,381,0,
1940,Oklahoma,380,0,
1941,Oklahoma,381,0,
1942,Oklahoma,379,3,
1943,Oklahoma,374,5,
1944,Oklahoma,373,6,
1945,Oklahoma,371,4,
1946,Oklahoma,374,1,
1947,Oklahoma,375,1,
1948,Oklahoma,375,1,
1949,Oklahoma,375,1,
1950,Oklahoma,375,1,
1951,Oklahoma,374,1,
1952,Oklahoma,376,2,
1953,Oklahoma,376,2,
1954,Oklahoma,376,2,
1955,Oklahoma,377,3,
1956,Oklahoma,378,6,
1957,Oklahoma,379,6,
1958,Oklahoma,380,15,
1959,Oklahoma,382,18,
1960,Oklahoma,386,23,
1961,Oklahoma,385,32,
1962,Oklahoma,390,32,
1963,Oklahoma,400,34,
1964,Oklahoma,416,36,
1965,Oklahoma,420,38,
1966,Oklahoma,419,42,0
1967,Oklahoma,421,46,2
1968,Oklahoma,423,55,3
1969,Oklahoma,425,58,2
1970,Oklahoma,433,60,8
1971,Oklahoma,435,71,2
1972,Oklahoma,436,84,1
1973,Oklahoma,447,91,11
1974,Oklahoma,455,96,8
1975,Oklahoma,462,99,7
1976,Oklahoma,469,104,7
1977,Oklahoma,476,175,8
1978,Oklahoma,478,217,2
1979,Oklahoma,489,248,11
1980,Oklahoma,495,255,6
1981,Oklahoma,501,284,6
1982,Oklahoma,509,134,10
1983,Oklahoma,525,139,18
1984,Oklahoma,539,193,18
1985,Oklahoma,535,220,6
1986,Oklahoma,520,231,2
1987,Oklahoma,487,259,0
1988,Oklahoma,466,274,0
1989,Oklahoma,430,318,0
1990,Oklahoma,419,337,0
1991,Oklahoma,411,373,0
1992,Oklahoma,394,441,0
1993,Oklahoma,371,487,1
1994,Oklahoma,350,526,0
1995,Oklahoma,342,558,0
1996,Oklahoma,332,598,3
1997,Oklahoma,320,640,1
1998,Oklahoma,309,669,1
1999,Oklahoma,300,746,2
2000,Oklahoma,286,796,1
2001,Oklahoma,283,831,1
2002,Oklahoma,274,866,2
2003,Oklahoma,273,902,1
2004,Oklahoma,269,931,1
2005,Oklahoma,267,980,1
2006,Oklahoma,258,1025,0
2007,Oklahoma,254,1064,0
2008,Oklahoma,248,1084,1
2009,Oklahoma,247,1099,1
2010,Oklahoma,243,1100,0
2011,Oklahoma,235,1106,0
2012,Oklahoma,231,1106,0
2013,Oklahoma,226,1095,0
2014,Oklahoma,218,1100,0
2015,Oklahoma,209,1083,0
2016,Oklahoma,206,1083,0
2017,Oklahoma,205,1073,1
2018,Oklahoma,199,1085,0
2019,Oklahoma,196,1102,1
1934,Oregon,102,0,
1935,Oregon,93,42,
1936,Oregon,87,50,
1937,Oregon,73,66,
1938,Oregon,73,66,
1939,Oregon,71,67,
1940,Oregon,69,68,
1941,Oregon,69,69,
1942,Oregon,68,70,
1943,Oregon,67,73,
1944,Oregon,66,72,
1945,Oregon,68,73,
1946,Oregon,67,76,
1947,Oregon,68,81,
1948,Oregon,69,88,
1949,Oregon,68,96,
1950,Oregon,68,102,
1951,Oregon,68,104,
1952,Oregon,66,111,
1953,Oregon,65,116,
1954,Oregon,45,138,
1955,Oregon,47,145,
1956,Oregon,49,151,
1957,Oregon,53,157,
1958,Oregon,53,165,
1959,Oregon,51,179,
1960,Oregon,49,195,
1961,Oregon,47,206,
1962,Oregon,47,213,
1963,Oregon,49,234,
1964,Oregon,49,249,
1965,Oregon,48,265,
1966,Oregon,49,273,1
1967,Oregon,47,285,1
1968,Oregon,48,307,2
1969,Oregon,49,319,2
1970,Oregon,47,337,1
1971,Oregon,44,359,0
1972,Oregon,43,381,3
1973,Oregon,44,401,1
1974,Oregon,47,420,3
1975,Oregon,45,447,0
1976,Oregon,46,476,2
1977,Oregon,53,492,7
1978,Oregon,60,522,9
1979,Oregon,75,548,15
1980,Oregon,80,582,6
1981,Oregon,84,600,6
1982,Oregon,88,604,6
1983,Oregon,80,615,2
1984,Oregon,72,618,0
1985,Oregon,67,625,0
1986,Oregon,59,630,0
1987,Oregon,54,643,0
1988,Oregon,52,640,1
1989,Oregon,49,652,0
1990,Oregon,50,650,3
1991,Oregon,51,699,1
1992,Oregon,48,657,0
1993,Oregon,45,673,0
1994,Oregon,44,682,1
1995,Oregon,43,702,2
1996,Oregon,43,678,3
1997,Oregon,41,702,1
1998,Oregon,42,684,4
1999,Oregon,44,716,3
2000,Oregon,42,729,3
2001,Oregon,33,753,0
2002,Oregon,32,743,2
2003,Oregon,35,766,2
2004,Oregon,38,791,4
2005,Oregon,38,875,2
2006,Oregon,38,901,1
2007,Oregon,37,918,1
2008,Oregon,37,1048,1
2009,Oregon,34,1046,0
2010,Oregon,31,1039,0
2011,Oregon,31,1064,0
2012,Oregon,29,1035,0
2013,Oregon,25,1052,0
2014,Oregon,25,1025,0
2015,Oregon,22,1013,0
2016,Oregon,21,983,0
2017,Oregon,17,969,0
2018,Oregon,15,939,0
2019,Oregon,14,916,0
1934,Other Areas,0,0,
1935,Other Areas,0,0,
1936,Other Areas,1,1,
1937,Other Areas,1,1,
1938,Other Areas,1,1,
1939,Other Areas,1,1,
1940,Other Areas,1,1,
1941,Other Areas,1,2,
1942,Other Areas,1,2,
1943,Other Areas,1,1,
1944,Other Areas,1,1,
1945,Other Areas,1,1,
1946,Other Areas,1,1,
1947,Other Areas,1,1,
1948,Other Areas,1,1,
1949,Other Areas,1,1,
1950,Other Areas,8,35,
1951,Other Areas,8,38,
1952,Other Areas,8,50,
1953,Other Areas,10,54,
1954,Other Areas,9,58,
1955,Other Areas,9,59,
1956,Other Areas,9,65,
1957,Other Areas,9,76,
1958,Other Areas,9,106,
1959,Other Areas,8,117,
1960,Other Areas,8,120,
1961,Other Areas,8,129,
1962,Other Areas,8,131,
1963,Other Areas,8,136,
1964,Other Areas,8,140,
1965,Other Areas,8,174,
1966,Other Areas,9,187,0
1967,Other Areas,8,195,0
1968,Other Areas,8,217,0
1969,Other Areas,9,230,0
1970,Other Areas,9,242,0
1971,Other Areas,10,256,1
1972,Other Areas,12,263,2
1973,Other Areas,12,270,0
1974,Other Areas,12,267,0
1975,Other Areas,12,276,1
1976,Other Areas,13,276,1
1977,Other Areas,14,272,3
1978,Other Areas,13,267,0
1979,Other Areas,13,270,1
1980,Other Areas,13,280,0
1981,Other Areas,13,286,0
1982,Other Areas,16,298,2
1983,Other Areas,15,305,0
1984,Other Areas,13,314,0
1985,Other Areas,15,323,1
1986,Other Areas,17,339,2
1987,Other Areas,18,342,0
1988,Other Areas,18,349,0
1989,Other Areas,18,360,0
1990,Other Areas,18,399,0
1991,Other Areas,18,390,1
1992,Other Areas,17,405,0
1993,Other Areas,16,419,0
1994,Other Areas,21,513,1
1995,Other Areas,21,520,1
1996,Other Areas,20,539,0
1997,Other Areas,19,563,0
1998,Other Areas,18,583,0
1999,Other Areas,18,599,1
2000,Other Areas,18,611,0
2001,Other Areas,18,616,0
2002,Other Areas,17,618,0
2003,Other Areas,17,621,0
2004,Other Areas,16,623,0
2005,Other Areas,16,637,0
2006,Other Areas,17,642,1
2007,Other Areas,17,652,0
2008,Other Areas,16,613,0
2009,Other Areas,16,572,0
2010,Other Areas,13,547,0
2011,Other Areas,12,519,0
2012,Other Areas,11,504,0
2013,Other Areas,11,468,0
2014,Other Areas,11,445,0
2015,Other Areas,10,421,0
2016,Other Areas,10,392,0
2017,Other Areas,9,375,0
2018,Other Areas,9,362,0
2019,Other Areas,8,364,0
1934,Pacific Islands,,,
1935,Pacific Islands,,,
1936,Pacific Islands,,,
1937,Pacific Islands,,,
1938,Pacific Islands,,,
1939,Pacific Islands,,,
1940,Pacific Islands,,,
1941,Pacific Islands,,,
1942,Pacific Islands,,,
1943,Pacific Islands,,,
1944,Pacific Islands,,,
1945,Pacific Islands,,,
1946,Pacific Islands,,,
1947,Pacific Islands,,,
1948,Pacific Islands,,,
1949,Pacific Islands,,,
1950,Pacific Islands,,,
1951,Pacific Islands,,,
1952,Pacific Islands,,,
1953,Pacific Islands,,,
1954,Pacific Islands,,,
1955,Pacific Islands,,,
1956,Pacific Islands,,,
1957,Pacific Islands,,,
1958,Pacific Islands,,,
1959,Pacific Islands,,,
1960,Pacific Islands,,,
1961,Pacific Islands,,,
1962,Pacific Islands,,,
1963,Pacific Islands,,,
1964,Pacific Islands,,,
1965,Pacific Islands,,,
1966,Pacific Islands,,,
1967,Pacific Islands,,,
1968,Pacific Islands,,,
1969,Pacific Islands,,,
1970,Pacific Islands,,,
1971,Pacific Islands,,,
1972,Pacific Islands,,,
1973,Pacific Islands,,,
1974,Pacific Islands,,,
1975,Pacific Islands,,,
1976,Pacific Islands,,,
1977,Pacific Islands,,,
1978,Pacific Islands,,,
1979,Pacific Islands,,,
1980,Pacific Islands,,,
1981,Pacific Islands,,,
1982,Pacific Islands,,,
1983,Pacific Islands,,,
1984,Pacific Islands,,,
1985,Pacific Islands,,,
1986,Pacific Islands,,,
1987,Pacific Islands,,,
1988,Pacific Islands,,,
1989,Pacific Islands,,,
1990,Pacific Islands,,,
1991,Pacific Islands,,,
1992,Pacific Islands,,,
1993,Pacific Islands,,,
1994,Pacific Islands,,,
1995,Pacific Islands,,,
1996,Pacific Islands,,,
1997,Pacific Islands,,,
1998,Pacific Islands,,,
1999,Pacific Islands,,,
2000,Pacific Islands,,,
2001,Pacific Islands,,,
2002,Pacific Islands,,,
2003,Pacific Islands,,,
2004,Pacific Islands,,,
2005,Pacific Islands,,,
2006,Pacific Islands,,,
2007,Pacific Islands,,,
2008,Pacific Islands,,,
2009,Pacific Islands,,,
2010,Pacific Islands,,,
2011,Pacific Islands,,,
2012,Pacific Islands,,,
2013,Pacific Islands,,,
2014,Pacific Islands,,,
2015,Pacific Islands,,,
2016,Pacific Islands,,,
2017,Pacific Islands,,,
2018,Pacific Islands,,,
2019,Pacific Islands,,,
1984,Palau,,2,
1985,Palau,,2,
1986,Palau,,2,
1987,Palau,,2,
1988,Palau,,2,
1989,Palau,,2,
1990,Palau,,2,
1991,Palau,,2,
1992,Palau,,2,
1993,Palau,,2,
1994,Palau,,3,
1995,Palau,,3,
1996,Palau,,3,
1997,Palau,,3,
1998,Palau,,3,
1999,Palau,,3,
2000,Palau,,3,
2001,Palau,,3,
2002,Palau,,3,
2003,Palau,,3,
2004,Palau,,3,
2005,Palau,,3,
2006,Palau,,3,
2007,Palau,,3,
2008,Palau,,3,
2009,Palau,,3,
2010,Palau,,2,
2011,Palau,,2,
2012,Palau,,2,
2013,Palau,,2,
2014,Palau,,2,
2015,Palau,,2,
2016,Palau,,2,
2017,Palau,,2,
2018,Palau,,2,
2019,Palau,,2,
1934,Pennsylvania,1080,0,
1935,Pennsylvania,1082,91,
1936,Pennsylvania,1082,95,
1937,Pennsylvania,1068,99,
1938,Pennsylvania,1067,99,
1939,Pennsylvania,1062,98,
1940,Pennsylvania,1052,93,
1941,Pennsylvania,1048,95,
1942,Pennsylvania,1033,101,
1943,Pennsylvania,1017,103,
1944,Pennsylvania,1015,107,
1945,Pennsylvania,1008,116,
1946,Pennsylvania,998,122,
1947,Pennsylvania,978,145,
1948,Pennsylvania,967,162,
1949,Pennsylvania,960,177,
1950,Pennsylvania,954,189,
1951,Pennsylvania,944,216,
1952,Pennsylvania,923,252,
1953,Pennsylvania,888,310,
1954,Pennsylvania,843,392,
1955,Pennsylvania,804,468,
1956,Pennsylvania,778,535,
1957,Pennsylvania,758,593,
1958,Pennsylvania,730,668,
1959,Pennsylvania,710,738,
1960,Pennsylvania,691,791,
1961,Pennsylvania,666,872,
1962,Pennsylvania,628,944,
1963,Pennsylvania,611,1045,
1964,Pennsylvania,581,1145,
1965,Pennsylvania,561,1235,
1966,Pennsylvania,536,1336,0
1967,Pennsylvania,512,1419,0
1968,Pennsylvania,500,1517,2
1969,Pennsylvania,483,1614,1
1970,Pennsylvania,463,1725,1
1971,Pennsylvania,447,1824,0
1972,Pennsylvania,430,1917,0
1973,Pennsylvania,415,2059,0
1974,Pennsylvania,399,2191,1
1975,Pennsylvania,392,2273,2
1976,Pennsylvania,386,2322,0
1977,Pennsylvania,381,2358,0
1978,Pennsylvania,370,2425,0
1979,Pennsylvania,367,2477,0
1980,Pennsylvania,355,2557,0
1981,Pennsylvania,350,2672,0
1982,Pennsylvania,340,2627,0
1983,Pennsylvania,332,2659,1
1984,Pennsylvania,326,2706,2
1985,Pennsylvania,312,2762,3
1986,Pennsylvania,300,2836,2
1987,Pennsylvania,295,2895,5
1988,Pennsylvania,293,2952,10
1989,Pennsylvania,298,3048,7
1990,Pennsylvania,300,3174,6
1991,Pennsylvania,289,3319,1
1992,Pennsylvania,281,3402,2
1993,Pennsylvania,261,3402,0
1994,Pennsylvania,245,3525,1
1995,Pennsylvania,224,3542,1
1996,Pennsylvania,217,3468,2
1997,Pennsylvania,212,3550,4
1998,Pennsylvania,197,3434,2
1999,Pennsylvania,193,3488,8
2000,Pennsylvania,187,3492,1
2001,Pennsylvania,180,3193,4
2002,Pennsylvania,173,3184,1
2003,Pennsylvania,169,3196,3
2004,Pennsylvania,165,3252,5
2005,Pennsylvania,161,3282,4
2006,Pennsylvania,159,3347,4
2007,Pennsylvania,154,3404,6
2008,Pennsylvania,145,3490,3
2009,Pennsylvania,140,3383,0
2010,Pennsylvania,135,3431,0
2011,Pennsylvania,130,3425,0
2012,Pennsylvania,128,3570,0
2013,Pennsylvania,124,3494,1
2014,Pennsylvania,122,3460,0
2015,Pennsylvania,113,3398,0
2016,Pennsylvania,107,3307,0
2017,Pennsylvania,101,3256,0
2018,Pennsylvania,95,3180,0
2019,Pennsylvania,92,3459,0
1934,Puerto Rico,0,0,
1935,Puerto Rico,0,0,
1936,Puerto Rico,0,0,
1937,Puerto Rico,0,0,
1938,Puerto Rico,0,0,
1939,Puerto Rico,0,0,
1940,Puerto Rico,0,0,
1941,Puerto Rico,0,0,
1942,Puerto Rico,0,0,
1943,Puerto Rico,0,0,
1944,Puerto Rico,0,0,
1945,Puerto Rico,0,0,
1946,Puerto Rico,0,0,
1947,Puerto Rico,0,0,
1948,Puerto Rico,0,0,
1949,Puerto Rico,0,0,
1950,Puerto Rico,7,34,
1951,Puerto Rico,7,37,
1952,Puerto Rico,7,49,
1953,Puerto Rico,8,53,
1954,Puerto Rico,7,56,
1955,Puerto Rico,7,57,
1956,Puerto Rico,7,63,
1957,Puerto Rico,7,74,
1958,Puerto Rico,7,102,
1959,Puerto Rico,7,112,
1960,Puerto Rico,7,115,
1961,Puerto Rico,7,123,
1962,Puerto Rico,7,125,
1963,Puerto Rico,7,130,
1964,Puerto Rico,7,134,
1965,Puerto Rico,7,138,
1966,Puerto Rico,8,145,0
1967,Puerto Rico,7,151,0
1968,Puerto Rico,7,165,0
1969,Puerto Rico,8,173,0
